country,customer_id,invoice,price,stream_id,times_viewed,year,month,day,InvoiceDate
France,12615.0,489534,5.95,35832,3,2017,11,28,2017-11-28
France,12682.0,489439,5.95,85014B,3,2017,11,28,2017-11-28
France,12682.0,489439,0.42,16161P,0,2017,11,28,2017-11-28
France,12682.0,489439,0.42,16169N,6,2017,11,28,2017-11-28
France,12682.0,489439,1.95,21491,6,2017,11,28,2017-11-28
France,12682.0,489439,1.65,22333,8,2017,11,28,2017-11-28
France,12682.0,489439,0.65,85216,12,2017,11,28,2017-11-28
France,12682.0,489439,0.85,21493,12,2017,11,28,2017-11-28
France,12682.0,489439,0.85,22130,17,2017,11,28,2017-11-28
France,12682.0,489439,1.65,22064,12,2017,11,28,2017-11-28
France,12682.0,489439,1.65,21731,8,2017,11,28,2017-11-28
France,12682.0,489439,4.95,85232B,6,2017,11,28,2017-11-28
France,12682.0,489439,0.85,84691,12,2017,11,28,2017-11-28
France,12682.0,489439,7.95,20749,2,2017,11,28,2017-11-28
France,12682.0,489439,18.0,POST,3,2017,11,28,2017-11-28
France,12682.0,489439,5.95,85014A,3,2017,11,28,2017-11-28
France,12682.0,489439,2.55,22352,12,2017,11,28,2017-11-28
France,12682.0,489439,4.95,22139,9,2017,11,28,2017-11-28
France,12682.0,489439,4.95,22138,9,2017,11,28,2017-11-28
France,12682.0,489439,1.45,22065,12,2017,11,28,2017-11-28
France,12490.0,489557,1.95,85099B,15,2017,11,28,2017-11-28
France,12490.0,489557,0.85,20719,10,2017,11,28,2017-11-28
France,12490.0,489557,2.55,21039,12,2017,11,28,2017-11-28
France,12490.0,489557,1.95,20712,10,2017,11,28,2017-11-28
France,12490.0,489557,1.95,20711,10,2017,11,28,2017-11-28
France,12490.0,489557,5.95,21432,8,2017,11,28,2017-11-28
France,12490.0,489557,2.95,21424,6,2017,11,28,2017-11-28
France,12490.0,489557,2.1,21426,6,2017,11,28,2017-11-28
France,12490.0,489557,3.25,20682,6,2017,11,28,2017-11-28
France,12490.0,489557,18.0,POST,4,2017,11,28,2017-11-28
France,12490.0,489557,0.85,21238,8,2017,11,28,2017-11-28
France,12490.0,489557,0.55,21212,3,2017,11,28,2017-11-28
France,12490.0,489557,6.75,20685,2,2017,11,28,2017-11-28
France,12490.0,489557,1.25,21439,12,2017,11,28,2017-11-28
France,12490.0,489557,0.42,16169D,19,2017,11,28,2017-11-28
France,12490.0,489557,0.42,16169C,13,2017,11,28,2017-11-28
France,12490.0,489557,0.72,21017,13,2017,11,28,2017-11-28
France,12490.0,489557,1.65,21731,1,2017,11,28,2017-11-28
France,12490.0,489557,2.55,22352,12,2017,11,28,2017-11-28
France,12490.0,489557,2.55,22353,6,2017,11,28,2017-11-28
France,12490.0,489557,1.45,21210,12,2017,11,28,2017-11-28
France,12437.0,489883,4.95,22325,6,2017,11,29,2017-11-29
France,12437.0,489883,5.95,21754,6,2017,11,29,2017-11-29
France,12437.0,489883,0.65,84535A,15,2017,11,29,2017-11-29
France,12437.0,489883,1.25,40046A,12,2017,11,29,2017-11-29
France,12437.0,489883,18.0,POST,3,2017,11,29,2017-11-29
France,12437.0,489883,0.85,20981,12,2017,11,29,2017-11-29
France,12437.0,489883,0.85,20983,12,2017,11,29,2017-11-29
France,12437.0,489883,1.25,20979,11,2017,11,29,2017-11-29
France,12437.0,489883,1.25,20977,16,2017,11,29,2017-11-29
France,12437.0,489883,4.95,22139,6,2017,11,29,2017-11-29
France,12437.0,489883,4.95,22138,6,2017,11,29,2017-11-29
France,12437.0,489883,3.75,20696,4,2017,11,29,2017-11-29
France,12437.0,489883,2.95,85089,6,2017,11,29,2017-11-29
France,12437.0,489883,2.95,21249,6,2017,11,29,2017-11-29
France,12437.0,489883,1.25,21791,12,2017,11,29,2017-11-29
France,12437.0,489883,0.85,85227,12,2017,11,29,2017-11-29
France,12437.0,489883,0.85,20724,10,2017,11,29,2017-11-29
France,12437.0,489883,1.65,21935,10,2017,11,29,2017-11-29
France,12437.0,489883,7.95,20749,4,2017,11,29,2017-11-29
France,12437.0,489883,7.95,20750,4,2017,11,29,2017-11-29
France,12437.0,489883,5.95,21432,8,2017,11,29,2017-11-29
France,12437.0,489883,1.65,22211,12,2017,11,29,2017-11-29
France,12437.0,489883,1.25,21826,12,2017,11,29,2017-11-29
France,12437.0,489883,0.42,84670,20,2017,11,29,2017-11-29
France,12437.0,489883,2.55,22352,6,2017,11,29,2017-11-29
France,12437.0,489883,2.55,84671B,6,2017,11,29,2017-11-29
France,12437.0,489883,1.65,21429,1,2017,11,29,2017-11-29
France,12523.0,489685,10.95,21843,2,2017,11,29,2017-11-29
France,12523.0,489685,18.0,POST,0,2017,11,29,2017-11-29
France,14277.0,490120,2.55,22352,2,2017,11,30,2017-11-30
France,14277.0,490120,0.85,21092,3,2017,11,30,2017-11-30
France,14277.0,490120,0.65,21099,1,2017,11,30,2017-11-30
France,14277.0,490120,0.85,21094,2,2017,11,30,2017-11-30
France,14277.0,490120,0.85,21080,0,2017,11,30,2017-11-30
France,14277.0,490120,0.65,21086,3,2017,11,30,2017-11-30
France,14277.0,490120,1.25,21121,4,2017,11,30,2017-11-30
France,14277.0,490120,2.55,22353,0,2017,11,30,2017-11-30
France,14277.0,490120,0.55,21212,3,2017,11,30,2017-11-30
France,14277.0,490120,3.75,84997A,4,2017,11,30,2017-11-30
France,14277.0,490120,3.75,84997D,1,2017,11,30,2017-11-30
France,14277.0,490120,1.65,22333,3,2017,11,30,2017-11-30
France,14277.0,490120,3.25,20682,4,2017,11,30,2017-11-30
France,14277.0,490120,3.25,20681,3,2017,11,30,2017-11-30
France,14277.0,490120,1.25,21889,1,2017,11,30,2017-11-30
France,14277.0,490120,1.65,22331,4,2017,11,30,2017-11-30
France,14277.0,490120,4.95,22138,0,2017,11,30,2017-11-30
France,14277.0,490120,18.0,POST,4,2017,11,30,2017-11-30
France,12577.0,490139,8.5,22275,2,2017,11,30,2017-11-30
France,12577.0,490139,3.75,85183A,3,2017,11,30,2017-11-30
France,12577.0,490139,3.75,85183B,3,2017,11,30,2017-11-30
France,12577.0,490139,1.65,21100,10,2017,11,30,2017-11-30
France,12577.0,490139,5.95,22125,1,2017,11,30,2017-11-30
France,12577.0,490139,3.95,22114,1,2017,11,30,2017-11-30
France,12577.0,490139,1.65,21934,10,2017,11,30,2017-11-30
France,12577.0,490139,3.75,21913,8,2017,11,30,2017-11-30
France,12577.0,490139,3.75,21912,7,2017,11,30,2017-11-30
France,12577.0,490139,3.75,21888,7,2017,11,30,2017-11-30
France,12577.0,490139,2.95,21890,7,2017,11,30,2017-11-30
France,12577.0,490139,1.25,21889,6,2017,11,30,2017-11-30
France,12577.0,490139,1.25,21892,14,2017,11,30,2017-11-30
France,12714.0,490152,0.42,16169P,17,2017,12,01,2017-12-01
France,12714.0,490152,5.95,20679,3,2017,12,01,2017-12-01
France,12714.0,490152,6.75,20685,4,2017,12,01,2017-12-01
France,12714.0,490152,7.95,20749,2,2017,12,01,2017-12-01
France,12714.0,490152,7.95,20750,2,2017,12,01,2017-12-01
France,12714.0,490152,2.95,20940,6,2017,12,01,2017-12-01
France,12714.0,490152,4.95,21216,4,2017,12,01,2017-12-01
France,12714.0,490152,1.65,21429,8,2017,12,01,2017-12-01
France,12714.0,490152,1.65,21431,8,2017,12,01,2017-12-01
France,12714.0,490152,0.42,22052,7,2017,12,01,2017-12-01
France,12525.0,490153,9.95,22180,0,2017,12,01,2017-12-01
France,12525.0,490153,7.95,21527,3,2017,12,01,2017-12-01
France,12714.0,490152,6.75,21524,2,2017,12,01,2017-12-01
France,12525.0,490153,9.95,21265,3,2017,12,01,2017-12-01
France,12714.0,490152,4.95,85232B,12,2017,12,01,2017-12-01
France,12714.0,490152,0.85,22321,12,2017,12,01,2017-12-01
France,12714.0,490152,6.75,48184,4,2017,12,01,2017-12-01
France,12714.0,490152,6.75,48195,4,2017,12,01,2017-12-01
France,12714.0,490152,8.5,84932A,3,2017,12,01,2017-12-01
France,12714.0,490152,8.5,84932B,3,2017,12,01,2017-12-01
France,12714.0,490152,8.5,84932C,3,2017,12,01,2017-12-01
France,12714.0,490152,8.5,84932D,3,2017,12,01,2017-12-01
France,12714.0,490152,18.0,POST,7,2017,12,01,2017-12-01
France,12714.0,490152,9.95,84933A,3,2017,12,01,2017-12-01
France,12714.0,490152,9.95,84933C,3,2017,12,01,2017-12-01
France,12714.0,490152,0.85,85017A,12,2017,12,01,2017-12-01
France,12714.0,490152,0.85,85017B,12,2017,12,01,2017-12-01
France,12714.0,490152,0.42,16169K,12,2017,12,01,2017-12-01
France,12714.0,490152,0.42,16169N,4,2017,12,01,2017-12-01
France,12714.0,490152,0.85,85017C,12,2017,12,01,2017-12-01
France,12714.0,490152,4.95,85232A,3,2017,12,01,2017-12-01
France,12714.0,490152,9.95,84933B,3,2017,12,01,2017-12-01
France,12583.0,490458,0.55,21212,6,2017,12,03,2017-12-03
France,12583.0,490458,2.55,21559,12,2017,12,03,2017-12-03
France,12583.0,490458,3.75,21913,6,2017,12,03,2017-12-03
France,12583.0,490458,0.85,20983,12,2017,12,03,2017-12-03
France,12583.0,490458,10.65,21153,4,2017,12,03,2017-12-03
France,12583.0,490458,3.75,84997B,12,2017,12,03,2017-12-03
France,12583.0,490458,18.0,POST,4,2017,12,03,2017-12-03
France,12583.0,490458,0.85,21240,8,2017,12,03,2017-12-03
France,12583.0,490458,1.25,21791,20,2017,12,03,2017-12-03
France,12583.0,490458,1.69,21244,8,2017,12,03,2017-12-03
France,12583.0,490458,0.85,10002,16,2017,12,03,2017-12-03
France,12583.0,490458,0.55,21976,17,2017,12,03,2017-12-03
France,12583.0,490458,3.75,84997C,12,2017,12,03,2017-12-03
France,12583.0,490458,2.95,22090,0,2017,12,03,2017-12-03
France,12583.0,490458,2.95,22083,7,2017,12,03,2017-12-03
France,12583.0,490458,1.25,21121,8,2017,12,03,2017-12-03
France,12583.0,490458,6.35,20750,12,2017,12,03,2017-12-03
France,12583.0,490458,2.55,21039,9,2017,12,03,2017-12-03
France,12583.0,490458,1.95,21156,16,2017,12,03,2017-12-03
France,12583.0,490458,1.69,21242,8,2017,12,03,2017-12-03
France,12583.0,490458,0.85,20981,12,2017,12,03,2017-12-03
France,12583.0,490458,0.85,21542,12,2017,12,03,2017-12-03
France,12583.0,490458,5.95,21042,6,2017,12,03,2017-12-03
France,12677.0,490701,4.95,22138,4,2017,12,04,2017-12-04
France,12677.0,490701,0.85,20723,0,2017,12,04,2017-12-04
France,12523.0,490684,1.69,84879,17,2017,12,04,2017-12-04
France,12523.0,490684,4.95,22111,4,2017,12,04,2017-12-04
France,12523.0,490684,0.42,21806,24,2017,12,04,2017-12-04
France,12523.0,490684,2.1,21908,6,2017,12,04,2017-12-04
France,12682.0,490959,1.65,21731,6,2017,12,05,2017-12-05
France,12682.0,490959,1.25,22254,12,2017,12,05,2017-12-05
France,12682.0,490959,2.55,21039,6,2017,12,05,2017-12-05
France,12682.0,490959,18.0,POST,2,2017,12,05,2017-12-05
France,12682.0,490959,0.85,10002,12,2017,12,05,2017-12-05
France,12682.0,490959,4.65,47566,5,2017,12,05,2017-12-05
France,12682.0,490959,1.65,22333,8,2017,12,05,2017-12-05
France,12682.0,490959,2.55,22353,6,2017,12,05,2017-12-05
France,12682.0,490959,4.95,22139,6,2017,12,05,2017-12-05
France,12682.0,490959,5.95,15056BL,7,2017,12,05,2017-12-05
France,12682.0,490959,5.95,15056N,6,2017,12,05,2017-12-05
France,12682.0,490959,5.95,85014A,6,2017,12,05,2017-12-05
France,12682.0,490959,5.95,85014B,6,2017,12,05,2017-12-05
France,12682.0,490959,7.95,20750,6,2017,12,05,2017-12-05
France,12682.0,490959,2.55,21558,6,2017,12,05,2017-12-05
France,12682.0,490959,2.55,21559,6,2017,12,05,2017-12-05
France,14277.0,490798,18.0,POST,3,2017,12,05,2017-12-05
France,14277.0,490798,1.65,22331,0,2017,12,05,2017-12-05
France,14277.0,490798,0.85,21092,2,2017,12,05,2017-12-05
France,14277.0,490798,0.65,21099,1,2017,12,05,2017-12-05
France,14277.0,490798,0.85,21094,1,2017,12,05,2017-12-05
France,14277.0,490798,0.85,21080,0,2017,12,05,2017-12-05
France,14277.0,490798,0.65,21086,1,2017,12,05,2017-12-05
France,14277.0,490798,1.25,21121,2,2017,12,05,2017-12-05
France,14277.0,490798,2.55,22352,0,2017,12,05,2017-12-05
France,14277.0,490798,2.55,22353,3,2017,12,05,2017-12-05
France,14277.0,490798,0.55,21212,3,2017,12,05,2017-12-05
France,14277.0,490798,3.75,84997A,0,2017,12,05,2017-12-05
France,14277.0,490798,3.75,84997D,0,2017,12,05,2017-12-05
France,14277.0,490798,1.65,22333,4,2017,12,05,2017-12-05
France,14277.0,490798,3.25,20682,3,2017,12,05,2017-12-05
France,14277.0,490798,3.25,20681,4,2017,12,05,2017-12-05
France,14277.0,490798,1.25,21889,3,2017,12,05,2017-12-05
France,14277.0,490798,4.95,22138,3,2017,12,05,2017-12-05
France,14277.0,490768,45.95,84472,1,2017,12,05,2017-12-05
France,14277.0,490768,6.45,82484,1,2017,12,05,2017-12-05
France,12437.0,491410,4.95,22325,0,2017,12,07,2017-12-07
France,12437.0,491410,4.95,22138,1,2017,12,07,2017-12-07
France,12437.0,491410,1.25,21826,1,2017,12,07,2017-12-07
France,12437.0,491410,4.95,22139,1,2017,12,07,2017-12-07
France,12437.0,491166,1.25,21826,3,2017,12,07,2017-12-07
France,12437.0,491166,4.95,22138,2,2017,12,07,2017-12-07
France,12437.0,491166,4.95,22139,1,2017,12,07,2017-12-07
France,12437.0,491166,4.95,22325,3,2017,12,07,2017-12-07
France,12681.0,491698,3.25,20686,6,2017,12,10,2017-12-10
France,12681.0,491698,18.0,POST,4,2017,12,10,2017-12-10
France,12681.0,491698,0.85,21720,12,2017,12,10,2017-12-10
France,12681.0,491698,0.85,21719,12,2017,12,10,2017-12-10
France,12681.0,491698,3.25,20682,6,2017,12,10,2017-12-10
France,12681.0,491698,1.65,21731,12,2017,12,10,2017-12-10
France,12681.0,491698,0.29,21981,17,2017,12,10,2017-12-10
France,12681.0,491698,4.95,22314,12,2017,12,10,2017-12-10
France,12681.0,491698,0.42,22029,12,2017,12,10,2017-12-10
France,12681.0,491698,0.42,22027,12,2017,12,10,2017-12-10
France,12681.0,491698,0.42,22024,12,2017,12,10,2017-12-10
France,12681.0,491698,0.65,21883,16,2017,12,10,2017-12-10
France,12681.0,491698,2.55,21561,12,2017,12,10,2017-12-10
France,12681.0,491698,2.55,22352,12,2017,12,10,2017-12-10
