country,customer_id,invoice,price,stream_id,times_viewed,year,month,day,InvoiceDate
Germany,12533.0,489526,0.55,21976,19,2017,11,28,2017-11-28
Germany,12533.0,489526,0.42,21498,18,2017,11,28,2017-11-28
Germany,12533.0,489526,1.65,22077,12,2017,11,28,2017-11-28
Germany,12533.0,489526,1.25,84946,12,2017,11,28,2017-11-28
Germany,12533.0,489526,1.65,84948,4,2017,11,28,2017-11-28
Germany,12533.0,489526,4.25,21537,4,2017,11,28,2017-11-28
Germany,12533.0,489526,2.95,21733,6,2017,11,28,2017-11-28
Germany,12533.0,489526,2.95,85123A,6,2017,11,28,2017-11-28
Germany,12533.0,489526,1.25,20718,10,2017,11,28,2017-11-28
Germany,12533.0,489526,4.95,21539,3,2017,11,28,2017-11-28
Germany,12533.0,489526,0.42,16169F,22,2017,11,28,2017-11-28
Germany,12533.0,489526,1.25,84836,3,2017,11,28,2017-11-28
Germany,12533.0,489526,7.95,21527,2,2017,11,28,2017-11-28
Germany,12533.0,489526,4.95,21533,6,2017,11,28,2017-11-28
Germany,12533.0,489526,2.55,21531,6,2017,11,28,2017-11-28
Germany,12533.0,489526,9.95,22180,3,2017,11,28,2017-11-28
Germany,12533.0,489526,1.65,22333,8,2017,11,28,2017-11-28
Germany,12533.0,489526,0.65,22319,19,2017,11,28,2017-11-28
Germany,12533.0,489526,1.25,85049E,12,2017,11,28,2017-11-28
Germany,12533.0,489526,4.95,85232B,9,2017,11,28,2017-11-28
Germany,12533.0,489526,1.25,20676,8,2017,11,28,2017-11-28
Germany,12533.0,489526,2.95,20914,12,2017,11,28,2017-11-28
Germany,12533.0,489526,9.95,21217,3,2017,11,28,2017-11-28
Germany,12533.0,489526,0.85,21238,0,2017,11,28,2017-11-28
Germany,12533.0,489526,1.69,21242,8,2017,11,28,2017-11-28
Germany,12533.0,489526,1.65,22232,8,2017,11,28,2017-11-28
Germany,12533.0,489526,2.55,21535,6,2017,11,28,2017-11-28
Germany,12533.0,489526,2.95,21844,6,2017,11,28,2017-11-28
Germany,12533.0,489526,3.75,22073,4,2017,11,28,2017-11-28
Germany,12533.0,489526,3.75,22072,4,2017,11,28,2017-11-28
Germany,12533.0,489526,0.85,22321,11,2017,11,28,2017-11-28
Germany,12533.0,489526,5.95,15056BL,6,2017,11,28,2017-11-28
Germany,12533.0,489526,5.95,15056N,6,2017,11,28,2017-11-28
Germany,12533.0,489526,1.65,21731,12,2017,11,28,2017-11-28
Germany,12533.0,489526,1.25,22254,12,2017,11,28,2017-11-28
Germany,12533.0,489526,0.85,22255,12,2017,11,28,2017-11-28
Germany,12533.0,489526,1.45,46000S,2,2017,11,28,2017-11-28
Germany,12533.0,489526,2.55,20964,3,2017,11,28,2017-11-28
Germany,12533.0,489526,0.85,21788,12,2017,11,28,2017-11-28
Germany,12533.0,489526,0.85,21789,12,2017,11,28,2017-11-28
Germany,12533.0,489526,3.25,20682,6,2017,11,28,2017-11-28
Germany,12533.0,489526,5.95,85014C,3,2017,11,28,2017-11-28
Germany,12533.0,489526,0.85,84832,21,2017,11,28,2017-11-28
Germany,12533.0,489526,18.0,POST,6,2017,11,28,2017-11-28
Germany,12471.0,489858,2.95,20914,4,2017,11,29,2017-11-29
Germany,12471.0,489858,1.65,22198,1,2017,11,29,2017-11-29
Germany,12705.0,489911,4.95,85232A,1,2017,11,30,2017-11-30
Germany,12705.0,489911,1.95,21491,0,2017,11,30,2017-11-30
Germany,12705.0,489911,5.95,21432,1,2017,11,30,2017-11-30
Germany,13813.0,490395,18.0,POST,2,2017,12,03,2017-12-03
Germany,13813.0,490395,4.95,22139,3,2017,12,03,2017-12-03
Germany,13813.0,490395,0.85,21238,8,2017,12,03,2017-12-03
Germany,13813.0,490395,0.55,21212,3,2017,12,03,2017-12-03
Germany,13813.0,490395,1.25,21121,20,2017,12,03,2017-12-03
Germany,13813.0,490395,2.55,21559,6,2017,12,03,2017-12-03
Germany,13813.0,490395,0.85,22348,12,2017,12,03,2017-12-03
Germany,13813.0,490395,1.25,22253,6,2017,12,03,2017-12-03
Germany,13813.0,490395,9.95,22180,2,2017,12,03,2017-12-03
Germany,13813.0,490395,3.95,21658,8,2017,12,03,2017-12-03
Germany,13813.0,490395,1.25,21671,12,2017,12,03,2017-12-03
Germany,13813.0,490395,1.25,21672,10,2017,12,03,2017-12-03
Germany,13813.0,490395,2.55,22352,6,2017,12,03,2017-12-03
Germany,12471.0,490563,2.25,21577,12,2017,12,04,2017-12-04
Germany,12471.0,490563,2.25,21578,19,2017,12,04,2017-12-04
Germany,12471.0,490563,1.65,21429,8,2017,12,04,2017-12-04
Germany,12471.0,490563,2.95,21481,6,2017,12,04,2017-12-04
Germany,12471.0,490563,4.95,21485,9,2017,12,04,2017-12-04
Germany,12471.0,490563,0.85,21700,11,2017,12,04,2017-12-04
Germany,12471.0,490563,1.45,21973,12,2017,12,04,2017-12-04
Germany,12471.0,490563,1.65,21731,12,2017,12,04,2017-12-04
Germany,12471.0,490563,2.25,21576,12,2017,12,04,2017-12-04
Germany,12471.0,490563,0.85,20719,10,2017,12,04,2017-12-04
Germany,12471.0,490563,4.95,22139,3,2017,12,04,2017-12-04
Germany,12471.0,490563,1.25,21232,15,2017,12,04,2017-12-04
Germany,12471.0,490563,1.25,21231,12,2017,12,04,2017-12-04
Germany,12471.0,490563,3.75,22073,8,2017,12,04,2017-12-04
Germany,12471.0,490563,4.95,22313,12,2017,12,04,2017-12-04
Germany,12471.0,490563,4.95,22314,12,2017,12,04,2017-12-04
Germany,12471.0,490563,4.25,22200,8,2017,12,04,2017-12-04
Germany,12471.0,490563,2.55,22301,12,2017,12,04,2017-12-04
Germany,12471.0,490563,7.95,21527,6,2017,12,04,2017-12-04
Germany,12471.0,490563,2.55,22353,12,2017,12,04,2017-12-04
Germany,12471.0,490563,1.65,22198,12,2017,12,04,2017-12-04
Germany,12471.0,490563,0.85,22348,12,2017,12,04,2017-12-04
Germany,12471.0,490563,3.95,22114,16,2017,12,04,2017-12-04
Germany,12471.0,490563,0.42,22135,20,2017,12,04,2017-12-04
Germany,12471.0,490563,1.65,22331,8,2017,12,04,2017-12-04
Germany,12471.0,490563,1.65,22333,8,2017,12,04,2017-12-04
Germany,12471.0,490563,1.69,21697,2,2017,12,04,2017-12-04
Germany,12471.0,490563,1.25,22253,12,2017,12,04,2017-12-04
Germany,12471.0,490564,2.95,20914,20,2017,12,04,2017-12-04
Germany,12471.0,490564,4.95,22138,3,2017,12,04,2017-12-04
Germany,12471.0,490564,4.95,22139,3,2017,12,04,2017-12-04
Germany,12471.0,490564,0.85,21080,12,2017,12,04,2017-12-04
Germany,12471.0,490564,4.25,22200,8,2017,12,04,2017-12-04
Germany,12471.0,490564,3.75,22202,8,2017,12,04,2017-12-04
Germany,12471.0,490564,0.42,16169F,17,2017,12,04,2017-12-04
Germany,12471.0,490564,1.95,22150,6,2017,12,04,2017-12-04
Germany,12471.0,490564,0.85,22348,12,2017,12,04,2017-12-04
Germany,12471.0,490564,1.45,21210,1,2017,12,04,2017-12-04
Germany,12471.0,490564,18.0,POST,7,2017,12,04,2017-12-04
Germany,12600.0,490682,18.0,POST,2,2017,12,04,2017-12-04
Germany,12600.0,490682,2.55,21039,6,2017,12,04,2017-12-04
