country,customer_id,invoice,price,stream_id,times_viewed,year,month,day,InvoiceDate
Hong Kong,,505214,1.95,21156,8,2018,04,18,2018-04-18
Hong Kong,,505214,1.95,22386,10,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22384,10,2018,04,18,2018-04-18
Hong Kong,,505214,3.75,22550,6,2018,04,18,2018-04-18
Hong Kong,,505214,3.75,21912,4,2018,04,18,2018-04-18
Hong Kong,,505214,2.55,21715,8,2018,04,18,2018-04-18
Hong Kong,,505214,2.55,21716,8,2018,04,18,2018-04-18
Hong Kong,,505214,2.95,21936,5,2018,04,18,2018-04-18
Hong Kong,,505214,3.75,21888,4,2018,04,18,2018-04-18
Hong Kong,,505214,1.25,21791,12,2018,04,18,2018-04-18
Hong Kong,,505214,7.95,20749,2,2018,04,18,2018-04-18
Hong Kong,,505214,1.95,22367,8,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22243,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22242,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22551,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22382,10,2018,04,18,2018-04-18
Hong Kong,,505214,0.85,21790,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,20725,10,2018,04,18,2018-04-18
Hong Kong,,505214,1.95,85099B,10,2018,04,18,2018-04-18
Hong Kong,,505214,0.85,21080,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.06,20675,21,2018,04,18,2018-04-18
Hong Kong,,505214,0.72,21238,12,2018,04,18,2018-04-18
Hong Kong,,505214,0.72,21239,6,2018,04,18,2018-04-18
Hong Kong,,505214,0.72,21240,19,2018,04,18,2018-04-18
Hong Kong,,505214,0.55,21212,21,2018,04,18,2018-04-18
Hong Kong,,505214,0.55,22417,10,2018,04,18,2018-04-18
Hong Kong,,505214,3.39,84997B,22,2018,04,18,2018-04-18
Hong Kong,,505214,3.39,84997C,11,2018,04,18,2018-04-18
Hong Kong,,505214,3.39,84997D,10,2018,04,18,2018-04-18
Hong Kong,,505214,1.25,21949,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.25,21947,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.25,21948,12,2018,04,18,2018-04-18
Hong Kong,,505214,6.35,20750,12,2018,04,18,2018-04-18
Hong Kong,,505214,3.25,20681,6,2018,04,18,2018-04-18
Hong Kong,,505214,3.25,20682,6,2018,04,18,2018-04-18
Hong Kong,,505214,0.85,21094,12,2018,04,18,2018-04-18
Hong Kong,,505214,0.65,21086,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.95,22385,10,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22554,12,2018,04,18,2018-04-18
Hong Kong,,505214,1.06,20677,16,2018,04,18,2018-04-18
Hong Kong,,505214,1.06,20676,17,2018,04,18,2018-04-18
Hong Kong,,505214,1.45,21243,24,2018,04,18,2018-04-18
Hong Kong,,505214,2.95,22326,6,2018,04,18,2018-04-18
Hong Kong,,505214,1.65,22329,12,2018,04,18,2018-04-18
Hong Kong,,505214,2.55,22352,6,2018,04,18,2018-04-18
Hong Kong,,505214,2.55,22353,6,2018,04,18,2018-04-18
Hong Kong,,505214,1.45,21242,10,2018,04,18,2018-04-18
Hong Kong,,505214,1.45,21244,8,2018,04,18,2018-04-18
Hong Kong,,510041,2396.61,M,1,2018,05,23,2018-05-23
Hong Kong,,510039,2396.61,M,2,2018,05,23,2018-05-23
Hong Kong,,513405,1.45,22553,6,2018,06,21,2018-06-21
Hong Kong,,513405,1.95,22367,3,2018,06,21,2018-06-21
Hong Kong,,513405,1.45,22555,9,2018,06,21,2018-06-21
Hong Kong,,513405,1.45,22556,20,2018,06,21,2018-06-21
Hong Kong,,513405,1.45,22333,7,2018,06,21,2018-06-21
Hong Kong,,513405,7.95,20749,10,2018,06,21,2018-06-21
Hong Kong,,513405,1.65,22382,19,2018,06,21,2018-06-21
Hong Kong,,513405,1.95,22385,9,2018,06,21,2018-06-21
Hong Kong,,513405,1.65,20726,16,2018,06,21,2018-06-21
Hong Kong,,513405,1.25,22620,6,2018,06,21,2018-06-21
Hong Kong,,513405,1.95,20712,14,2018,06,21,2018-06-21
Hong Kong,,513405,1.95,22386,14,2018,06,21,2018-06-21
Hong Kong,,513405,2.55,22326,13,2018,06,21,2018-06-21
Hong Kong,,513405,2.55,22328,15,2018,06,21,2018-06-21
Hong Kong,,513405,1.45,22551,2,2018,06,21,2018-06-21
Hong Kong,,513405,1.45,22331,17,2018,06,21,2018-06-21
Hong Kong,,513405,2.95,22452,2,2018,06,21,2018-06-21
Hong Kong,,513405,2.95,21936,15,2018,06,21,2018-06-21
Hong Kong,,513405,1.95,85099B,23,2018,06,21,2018-06-21
Hong Kong,,513405,1.65,20725,7,2018,06,21,2018-06-21
Hong Kong,,513405,1.65,22384,8,2018,06,21,2018-06-21
Hong Kong,,513405,5.95,21432,6,2018,06,21,2018-06-21
Hong Kong,,513405,1.95,21156,23,2018,06,21,2018-06-21
Hong Kong,,513405,1.45,22554,8,2018,06,21,2018-06-21
Hong Kong,,518780,1883.65,M,4,2018,08,08,2018-08-08
Hong Kong,,518781,1883.65,M,1,2018,08,08,2018-08-08
Hong Kong,,541975,2.95,22137,6,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21439,12,2019,01,21,2019-01-21
Hong Kong,,541975,2.95,22452,19,2019,01,21,2019-01-21
Hong Kong,,541975,2.95,22454,7,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22652,10,2019,01,21,2019-01-21
Hong Kong,,541975,2.55,22326,15,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,20725,10,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,20726,10,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22382,0,2019,01,21,2019-01-21
Hong Kong,,541975,1.95,22629,12,2019,01,21,2019-01-21
Hong Kong,,541975,1.95,22630,12,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,22202,4,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,22203,4,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,22204,4,2019,01,21,2019-01-21
Hong Kong,,541975,4.95,21216,4,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,84997B,15,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,84997C,19,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,84997D,24,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,20675,4,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,20963,10,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,20676,8,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,20961,10,2019,01,21,2019-01-21
Hong Kong,,541975,3.25,20682,6,2019,01,21,2019-01-21
Hong Kong,,541975,3.25,20682,6,2019,01,21,2019-01-21
Hong Kong,,541975,7.95,20749,6,2019,01,21,2019-01-21
Hong Kong,,541975,2.95,22454,5,2019,01,21,2019-01-21
Hong Kong,,541975,2.95,22452,5,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,20726,2,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22382,18,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21947,12,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21948,12,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21949,12,2019,01,21,2019-01-21
Hong Kong,,541975,6.35,20749,12,2019,01,21,2019-01-21
Hong Kong,,541975,10.95,21843,4,2019,01,21,2019-01-21
Hong Kong,,541975,2.1,22380,17,2019,01,21,2019-01-21
Hong Kong,,541975,12.75,22504,6,2019,01,21,2019-01-21
Hong Kong,,541975,7.95,20749,6,2019,01,21,2019-01-21
Hong Kong,,541975,0.42,47422,13,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,20677,18,2019,01,21,2019-01-21
Hong Kong,,541975,4.95,21246,12,2019,01,21,2019-01-21
Hong Kong,,541975,9.95,22635,6,2019,01,21,2019-01-21
Hong Kong,,541975,9.95,22634,6,2019,01,21,2019-01-21
Hong Kong,,541975,8.5,22636,6,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21949,18,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21948,5,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,21947,3,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22551,18,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22554,2,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22556,9,2019,01,21,2019-01-21
Hong Kong,,541975,1.65,22553,0,2019,01,21,2019-01-21
Hong Kong,,541975,0.29,21981,17,2019,01,21,2019-01-21
Hong Kong,,541975,0.85,21058,12,2019,01,21,2019-01-21
Hong Kong,,541975,0.21,16236,11,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,85183A,6,2019,01,21,2019-01-21
Hong Kong,,541975,3.75,85183B,6,2019,01,21,2019-01-21
Hong Kong,,541975,1.25,22620,2,2019,01,21,2019-01-21
Hong Kong,,541975,0.29,21967,22,2019,01,21,2019-01-21
Hong Kong,,546558,2583.76,M,1,2019,03,12,2019-03-12
Hong Kong,,546557,2583.76,M,0,2019,03,12,2019-03-12
Hong Kong,,549738,1.25,21154,10,2019,04,09,2019-04-09
Hong Kong,,549738,3.75,22203,12,2019,04,09,2019-04-09
Hong Kong,,549738,1.95,22659,12,2019,04,09,2019-04-09
Hong Kong,,549738,1.95,22631,12,2019,04,09,2019-04-09
Hong Kong,,549738,4.95,22628,12,2019,04,09,2019-04-09
Hong Kong,,549738,2.95,22328,2,2019,04,09,2019-04-09
Hong Kong,,549738,0.85,21239,12,2019,04,09,2019-04-09
Hong Kong,,549738,2.95,22327,12,2019,04,09,2019-04-09
Hong Kong,,549738,4.15,84997B,15,2019,04,09,2019-04-09
Hong Kong,,549738,4.15,84997D,21,2019,04,09,2019-04-09
Hong Kong,,549738,1.95,22367,8,2019,04,09,2019-04-09
Hong Kong,,549738,1.95,21156,8,2019,04,09,2019-04-09
Hong Kong,,549738,1.25,20963,10,2019,04,09,2019-04-09
Hong Kong,,549738,1.25,20961,7,2019,04,09,2019-04-09
Hong Kong,,549738,4.15,84997A,2,2019,04,09,2019-04-09
Hong Kong,,549738,2.95,22137,6,2019,04,09,2019-04-09
Hong Kong,,549738,0.85,21240,20,2019,04,09,2019-04-09
Hong Kong,,549738,1.25,20676,3,2019,04,09,2019-04-09
Hong Kong,,549738,0.85,21238,4,2019,04,09,2019-04-09
Hong Kong,,549738,0.85,22418,7,2019,04,09,2019-04-09
Hong Kong,,549738,9.95,22180,4,2019,04,09,2019-04-09
Hong Kong,,549738,10.95,21843,8,2019,04,09,2019-04-09
Hong Kong,,549738,1.25,20674,24,2019,04,09,2019-04-09
Hong Kong,,549738,1.25,20677,5,2019,04,09,2019-04-09
Hong Kong,,549738,1.25,20675,4,2019,04,09,2019-04-09
Hong Kong,,549738,1.69,84849B,12,2019,04,09,2019-04-09
Hong Kong,,549738,3.25,20682,12,2019,04,09,2019-04-09
Hong Kong,,549738,0.42,47422,11,2019,04,09,2019-04-09
Hong Kong,,549738,7.95,20750,6,2019,04,09,2019-04-09
Hong Kong,,549738,12.75,22423,6,2019,04,09,2019-04-09
Hong Kong,,549738,8.25,23053,2,2019,04,09,2019-04-09
Hong Kong,,549738,8.25,23052,2,2019,04,09,2019-04-09
Hong Kong,,553148,1.25,20675,10,2019,05,10,2019-05-10
Hong Kong,,553148,1.25,20676,17,2019,05,10,2019-05-10
Hong Kong,,553148,1.25,20674,6,2019,05,10,2019-05-10
Hong Kong,,553148,1.69,21245,22,2019,05,10,2019-05-10
Hong Kong,,553148,1.69,21243,15,2019,05,10,2019-05-10
Hong Kong,,553148,1.69,21244,13,2019,05,10,2019-05-10
Hong Kong,,553148,1.69,21242,17,2019,05,10,2019-05-10
Hong Kong,,553148,0.85,21239,19,2019,05,10,2019-05-10
Hong Kong,,553148,0.85,21240,5,2019,05,10,2019-05-10
