country,customer_id,invoice,price,stream_id,times_viewed,year,month,day,InvoiceDate
Portugal,12758.0,489599,0.85,20983,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.25,20979,7,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.95,21156,8,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,21789,15,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,21788,21,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.42,85199S,1,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.65,85199L,13,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.55,21556,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,8.5,82081,2,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.95,21164,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,22321,8,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,21238,3,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,21239,15,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.69,21243,16,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.69,21242,0,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.95,20711,2,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,20724,3,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.45,20725,1,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.1,21155,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,7.95,21527,4,2017,11,28,2017-11-28
Portugal,12758.0,489599,10.95,21843,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.65,21429,8,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.95,85099B,1,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.95,85006,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,7.95,20749,2,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.45,22113,8,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.95,22114,8,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.25,47504G,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,5.95,85014D,3,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.45,84985B,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.45,84986B,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.55,84990,14,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.25,21891,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.95,21890,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,4.95,22138,3,2017,11,28,2017-11-28
Portugal,12758.0,489599,6.35,20750,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.25,20684,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.75,21218,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.1,21181,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.72,22356,7,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.42,16161U,15,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.42,21497,0,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.42,22051,22,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.69,84879,20,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.95,22117,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.95,22116,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,5.95,21042,3,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.25,21121,1,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.55,21212,21,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.45,21210,7,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.55,21531,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.75,22073,4,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.1,21398,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.65,21431,3,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.25,21877,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.1,82600,21,2017,11,28,2017-11-28
Portugal,12758.0,489599,5.95,85014B,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,22355,4,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.95,21931,19,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.95,21928,22,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.39,21430,8,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.75,21428,23,2017,11,28,2017-11-28
Portugal,12758.0,489599,4.95,22139,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.25,47504E,22,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.65,20728,20,2017,11,28,2017-11-28
Portugal,12758.0,489599,2.95,20914,6,2017,11,28,2017-11-28
Portugal,12758.0,489599,1.45,84988,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,0.85,22197,12,2017,11,28,2017-11-28
Portugal,12758.0,489599,3.25,20681,12,2017,11,28,2017-11-28
