country,customer_id,invoice,price,stream_id,times_viewed,year,month,day,InvoiceDate
Spain,12484.0,489955,2.1,20870,2,2017,11,30,2017-11-30
Spain,12484.0,489955,1.25,21232,0,2017,11,30,2017-11-30
Spain,12510.0,490295,0.21,84077,6,2017,12,01,2017-12-01
Spain,12510.0,490295,0.38,21007,2,2017,12,01,2017-12-01
Spain,12510.0,490295,3.75,20764,8,2017,12,01,2017-12-01
Spain,12510.0,490295,0.38,35611B,3,2017,12,01,2017-12-01
Spain,12510.0,490295,0.85,85017A,12,2017,12,01,2017-12-01
Spain,12510.0,490295,0.85,22181,19,2017,12,01,2017-12-01
Spain,12510.0,490295,0.85,85017B,12,2017,12,01,2017-12-01
Spain,12510.0,490295,0.85,85017C,12,2017,12,01,2017-12-01
Spain,12510.0,490295,0.85,10002,2,2017,12,01,2017-12-01
Spain,12510.0,490295,28.0,POST,4,2017,12,01,2017-12-01
Spain,12510.0,490296,28.0,POST,2,2017,12,01,2017-12-01
Spain,12510.0,490295,0.06,35015,19,2017,12,01,2017-12-01
Spain,12510.0,490295,0.85,84625B,24,2017,12,01,2017-12-01
Spain,12510.0,490295,2.95,21744,6,2017,12,01,2017-12-01
Spain,12510.0,490295,6.75,79323P,4,2017,12,01,2017-12-01
Spain,12510.0,490295,6.75,79323W,4,2017,12,01,2017-12-01
Spain,12510.0,490295,6.75,79323B,4,2017,12,01,2017-12-01
Spain,12510.0,490295,2.95,21743,6,2017,12,01,2017-12-01
Spain,12540.0,490733,4.95,85042,12,2017,12,04,2017-12-04
Spain,12540.0,490733,9.95,21340,8,2017,12,04,2017-12-04
Spain,12540.0,490733,4.95,21706,12,2017,12,04,2017-12-04
Spain,12540.0,490733,4.95,21707,12,2017,12,04,2017-12-04
Spain,12540.0,490733,2.95,20665,12,2017,12,04,2017-12-04
Spain,12540.0,490733,2.95,20661,12,2017,12,04,2017-12-04
Spain,12540.0,490733,28.0,POST,3,2017,12,04,2017-12-04
Spain,12557.0,492439,3.39,84997C,17,2017,12,14,2017-12-14
Spain,12557.0,492439,3.39,84997D,11,2017,12,14,2017-12-14
Spain,12557.0,492439,3.39,84997B,13,2017,12,14,2017-12-14
Spain,12539.0,493395,0.85,22355,10,2017,12,20,2017-12-20
Spain,12539.0,493395,1.65,20728,10,2017,12,20,2017-12-20
Spain,12539.0,493395,0.42,22046,8,2017,12,20,2017-12-20
Spain,12539.0,493395,2.55,21717,8,2017,12,20,2017-12-20
Spain,12539.0,493395,1.65,22331,21,2017,12,20,2017-12-20
Spain,12539.0,493395,1.65,22334,16,2017,12,20,2017-12-20
Spain,12539.0,493395,0.42,22033,12,2017,12,20,2017-12-20
Spain,12539.0,493395,4.95,22312,6,2017,12,20,2017-12-20
Spain,12539.0,493395,0.42,22027,12,2017,12,20,2017-12-20
Spain,12539.0,493395,1.25,20655,12,2017,12,20,2017-12-20
Spain,12539.0,493395,2.95,20662,12,2017,12,20,2017-12-20
Spain,12539.0,493395,2.1,20618,6,2017,12,20,2017-12-20
Spain,12539.0,493395,2.95,20663,6,2017,12,20,2017-12-20
Spain,12539.0,493395,0.42,21786,1,2017,12,20,2017-12-20
Spain,12539.0,493395,4.25,21428,4,2017,12,20,2017-12-20
Spain,12539.0,493395,5.95,85014A,3,2017,12,20,2017-12-20
Spain,12539.0,493395,8.5,22275,4,2017,12,20,2017-12-20
Spain,12539.0,493395,2.55,22276,6,2017,12,20,2017-12-20
Spain,12539.0,493395,4.95,22278,6,2017,12,20,2017-12-20
Spain,12539.0,493395,1.95,21929,10,2017,12,20,2017-12-20
Spain,12539.0,493395,1.95,21928,10,2017,12,20,2017-12-20
Spain,12539.0,493395,1.25,22092,12,2017,12,20,2017-12-20
Spain,12539.0,493395,2.1,22279,6,2017,12,20,2017-12-20
Spain,12539.0,493395,1.25,20660,12,2017,12,20,2017-12-20
Spain,12539.0,493395,1.25,20717,10,2017,12,20,2017-12-20
Spain,12539.0,493395,0.85,20723,10,2017,12,20,2017-12-20
Spain,12539.0,493395,2.55,22350,6,2017,12,20,2017-12-20
